 CODIGO ; NOMBRE RECETA ;; INGREDIENTES ; PROVEEDOR ; CANT ; Unid ; C.U. ; Total x 100 ; C x P ;TIPO INGREDIENTE;TIPO DE RECETA
; AF-Brie con nueces acarameladas, crostinis y salsa de caramelo ;; pan guagua ; MIGUEL FARIAS ; 1,890 ; kg ; 4.980 ; 9.412 ; 95 ;Pan;APERITIVO FRIO
; AF-Brie con nueces acarameladas, crostinis y salsa de caramelo ;; Aceite de oliva ; Arasil ; 0,100 ; lt ; 5.782 ; 578 ; 6 ;Abarrotes;APERITIVO FRIO
; AF-Brie con nueces acarameladas, crostinis y salsa de caramelo ;; Mantequilla ; Cabezas y cia ; 0,200 ; kg ; 8.391 ; 1.678 ; 17 ;Lácteos;APERITIVO FRIO
; AF-Brie con nueces acarameladas, crostinis y salsa de caramelo ;; Orégano ; Fruton ; 0,010 ; kg ; 3.900 ; 39 ; 1 ;Abarrotes;APERITIVO FRIO
 AF01B ; AF-Brie relleno cubierto por mascarpone y almendras slice ;; Queso brie ; Quillayes ; 1,450 ; kg ; 8.505 ; 12.332 ; 124 ;Lácteos;APERITIVO FRIO
 AF01B ; AF-Brie relleno cubierto por mascarpone y almendras slice ;; Callampas secas ; Fruton ; 0,070 ; kg ; 19.800 ; 1.386 ; 14 ;Abarrotes;APERITIVO FRIO
 AF01B ; AF-Brie relleno cubierto por mascarpone y almendras slice ;; Queso crema ; Delicias y mas SpA ; 0,490 ; kg ; 6.961 ; 3.411 ; 35 ;Lácteos;APERITIVO FRIO
 AF01B ; AF-Brie relleno cubierto por mascarpone y almendras slice ;; Almendras laminadas ; Miguel Farias ; 0,560 ; kg ; 9.975 ; 5.586 ; 56 ;Abarrotes;APERITIVO FRIO
 AF01B ; AF-Brie relleno cubierto por mascarpone y almendras slice ;; Brochetas de 12 cm ; Delicias y mas SpA ; 1,000 ; pqte ; 790 ; 790 ; 8 ;Abarrotes;APERITIVO FRIO
; AF-Brocheta de camaron envueltas en salmon ahumado ;; Camarón 26/30 ; Cero Pacifico ; 1,285 ; kg ; 7.400 ; 9.509 ; 96 ;Mariscos/Pescados;APERITIVO FRIO
; AF-Brocheta de camaron envueltas en salmon ahumado ;; Salmón ahumado ; Southwind ; 0,500 ; kg ; 18.500 ; 9.250 ; 93 ;Mariscos/Pescados;APERITIVO FRIO
; AF-Brocheta de camaron envueltas en salmon ahumado ;; Brochetas de 12 cm ; Delicias y mas SpA ; 1,000 ; pqte ; 790 ; 790 ; 8 ;Abarrotes;APERITIVO FRIO
; AF-Brocheta de camaron envueltas en salmon ahumado ;; Rucula ; Comercial Johnson ; 0,200 ; kg ; 11.765 ; 2.353 ; 24 ;Frutas/Verduras;APERITIVO FRIO
 AF03A ; AF-Brocheta de camaron y alcachofa env. en jamon crudo ;; Camarón 26/30 ; Cero Pacifico ; 2,500 ; kg ; 7.400 ; 18.500 ; 185 ;Mariscos/Pescados;APERITIVO FRIO
 AF03A ; AF-Brocheta de camaron y alcachofa env. en jamon crudo ;; Jamón crudo ; Globe Italia ; 0,500 ; kg ; 21.780 ; 10.890 ; 109 ;Carnes;APERITIVO FRIO
 AF03A ; AF-Brocheta de camaron y alcachofa env. en jamon crudo ;; Alcachofa corazón ; Cosecha verde ; 1,700 ; kg ; 2.157 ; 3.667 ; 37 ;Abarrotes;APERITIVO FRIO
 AF03A ; AF-Brocheta de camaron y alcachofa env. en jamon crudo ;; Rucula ; Comercial Johnson ; 0,200 ; kg ; 11.765 ; 2.353 ; 24 ;Frutas/Verduras;APERITIVO FRIO
 AF03A ; AF-Brocheta de camaron y alcachofa env. en jamon crudo ;; Brochetas de 12 cm ; Delicias y mas SpA ; 1,000 ; pqte ; 790 ; 790 ; 8 ;Abarrotes;APERITIVO FRIO
 AF03A ; AF-Brocheta de camaron y alcachofa env. en jamon crudo ;; Aceite de oliva ; Arasil ; 0,100 ; lt ; 5.782 ; 578 ; 6 ;Abarrotes;APERITIVO FRIO
 AF03A ; AF-Brocheta de camaron y alcachofa env. en jamon crudo-Salsa de Mostaza ;; Crema ; Cabezas y cia ; 0,500 ; lt ; 3.721 ; 1.861 ; 19 ;Lácteos;APERITIVO FRIO
 AF03A ; AF-Brocheta de camaron y alcachofa env. en jamon crudo-Salsa de Mostaza ;; Mostaza Dijon ; Delicias y mas SpA ; 0,100 ; kg ; 6.715 ; 672 ; 7 ;Abarrotes;APERITIVO FRIO
 AF03D ; AF-Brocheta de camaron y alcachofa envuelto en salmon ahumado ;; Camarón 26/30 ; Cero Pacifico ; 2,500 ; kg ; 7.400 ; 18.500 ; 185 ;Mariscos/Pescados;APERITIVO FRIO
 AF03D ; AF-Brocheta de camaron y alcachofa envuelto en salmon ahumado ;; Alcachofa corazón ; Cosecha verde ; 1,700 ; kg ; 2.157 ; 3.667 ; 37 ;Abarrotes;APERITIVO FRIO
 AF03D ; AF-Brocheta de camaron y alcachofa envuelto en salmon ahumado ;; Salmón ahumado ; Southwind ; 0,500 ; kg ; 18.500 ; 9.250 ; 93 ;Mariscos/Pescados;APERITIVO FRIO
 AF03D ; AF-Brocheta de camaron y alcachofa envuelto en salmon ahumado ;; Brochetas de 12 cm ; Delicias y mas SpA ; 1,000 ; pqte ; 790 ; 790 ; 8 ;Abarrotes;APERITIVO FRIO
 AF03D ; AF-Brocheta de camaron y alcachofa envuelto en salmon ahumado ;; Limón ; Fruton ; 0,250 ; kg ; 1.590 ; 398 ; 4 ;Frutas/Verduras;APERITIVO FRIO
 AF03D ; AF-Brocheta de camaron y alcachofa envuelto en salmon ahumado ;; Aceite de oliva ; Arasil ; 0,100 ; lt ; 5.782 ; 578 ; 6 ;Abarrotes;APERITIVO FRIO
 AF03D ; AF-Brocheta de camaron y alcachofa envuelto en salmon ahumado ;; Rucula ; Comercial Johnson ; 0,200 ; kg ; 11.765 ; 2.353 ; 24 ;Frutas/Verduras;APERITIVO FRIO
 AF03D ; AF-Brocheta de camaron y alcachofa envuelto en salmon ahumado - Salsa de sour creame y eneldo ;; Yoghurt ; Delicias y mas SpA ; 0,200 ; lt ; 3.015 ; 603 ; 7 ;Lácteos;APERITIVO FRIO
 AF03D ; AF-Brocheta de camaron y alcachofa envuelto en salmon ahumado - Salsa de sour creame y eneldo ;; crema ; Cabezas y cia ; 0,200 ; lt ; 3.721 ; 744 ; 8 ;Lácteos;APERITIVO FRIO
 AF03D ; AF-Brocheta de camaron y alcachofa envuelto en salmon ahumado - Salsa de sour creame y eneldo ;; eneldo ; Comon ; 0,050 ; kg ; 10.695 ; 535 ; 6 ;Abarrotes;APERITIVO FRIO
 AF03D ; AF-Brocheta de camaron y alcachofa envuelto en salmon ahumado - Salsa de sour creame y eneldo ;; limón ; Fruton ; 0,250 ; kg ; 1.590 ; 398 ; 4 ;Frutas/Verduras;APERITIVO FRIO
; AF-Brocheta de Camarones y corazón de alcachofa al earl grey ;; Camarón 26/30 ; Cero Pacifico ; 1,285 ; kg ; 7.400 ; 9.509 ; 96 ;Mariscos/Pescados;APERITIVO FRIO
; AF-Brocheta de Camarones y corazón de alcachofa al earl grey ;; Alcachofa corazón ; Cosecha verde ; 3,330 ; kg ; 2.157 ; 7.183 ; 72 ;Abarrotes;APERITIVO FRIO
; AF-Brocheta de Camarones y corazón de alcachofa al earl grey ;; Aceite de oliva ; Arasil ; 0,100 ; lt ; 5.782 ; 578 ; 6 ;Abarrotes;APERITIVO FRIO
; AF-Brocheta de Camarones y corazón de alcachofa al earl grey ;; Tè earl grey ; cambiar ; 0,100 ; caja ; 1.429 ; 143 ; 2 ;Abarrotes;APERITIVO FRIO
; AF-Brocheta de Camarones y corazón de alcachofa al earl grey ;; Brochetas de 12 cm ; Delicias y mas SpA ; 1,000 ; pqte ; 790 ; 790 ; 8 ;Abarrotes;APERITIVO FRIO
; AF-Brocheta de Camarones y corazón de alcachofa al earl grey ;; Limón ; Fruton ; 0,250 ; kg ; 1.590 ; 398 ; 4 ;Frutas/Verduras;APERITIVO FRIO
; AF-Brocheta de Camarones y corazón de alcachofa al earl grey ;; Rucula ; Comercial Johnson ; 0,200 ; kg ; 11.765 ; 2.353 ; 24 ;Frutas/Verduras;APERITIVO FRIO
; AF-Brocheta de espárragos envueltos en jamon serrano ;; espárragos congelados ; Congefruits ; 3,330 ; kg ; 3.700 ; 12.321 ; 124 ;Frutas/Verduras;APERITIVO FRIO
; AF-Brocheta de espárragos envueltos en jamon serrano ;; Mantequilla ; Cabezas y cia ; 0,100 ; kg ; 8.391 ; 839 ; 9 ;Lácteos;APERITIVO FRIO
; AF-Brocheta de espárragos envueltos en jamon serrano ;; azúcar ; Delicias y mas SpA ; 0,050 ; kg ; 1.300 ; 65 ; 1 ;Abarrotes;APERITIVO FRIO
; AF-Brocheta de espárragos envueltos en jamon serrano ;; soya ; Delicias y mas SpA ; 0,150 ; lt ; 2.645 ; 397 ; 4 ;Abarrotes;APERITIVO FRIO
; AF-Brocheta de espárragos envueltos en jamon serrano ;; Jamón crudo ; Globe Italia ; 0,500 ; kg ; 21.780 ; 10.890 ; 109 ;Carnes;APERITIVO FRIO
; AF-Brocheta de espárragos envueltos en jamon serrano ;; Brochetas de 12 cm ; Delicias y mas SpA ; 1,000 ; pqte ; 790 ; 790 ; 8 ;Abarrotes;APERITIVO FRIO
; AF-Brocheta de Fondo de alcachofa con queso crema y camaron ;; Alcachofa fondo ; Miguel Farias ; 2,100 ; kg ; 6.090 ; 12.789 ; 128 ;Abarrotes;APERITIVO FRIO
; AF-Brocheta de Fondo de alcachofa con queso crema y camaron ;; Limón ; Fruton ; 0,250 ; kg ; 1.590 ; 398 ; 4 ;Frutas/Verduras;APERITIVO FRIO
; AF-Brocheta de Fondo de alcachofa con queso crema y camaron ;; Queso crema ; Delicias y mas SpA ; 0,500 ; kg ; 6.961 ; 3.481 ; 35 ;Lácteos;APERITIVO FRIO
; AF-Brocheta de Fondo de alcachofa con queso crema y camaron ;; Camarón 26/30 ; Cero Pacifico ; 1,285 ; kg ; 7.400 ; 9.509 ; 96 ;Mariscos/Pescados;APERITIVO FRIO
; AF-Brocheta de Fondo de alcachofa con queso crema y camaron ;; Aceite de oliva ; Arasil ; 0,050 ; lt ; 5.782 ; 289 ; 3 ;Abarrotes;APERITIVO FRIO
; AF-Brocheta de Fondo de alcachofa con queso crema y camaron ;; Brochetas de 12 cm ; Delicias y mas SpA ; 1,000 ; pqte ; 790 ; 790 ; 8 ;Abarrotes;APERITIVO FRIO
; AF-Brocheta de Fondo de alcachofa con queso crema, salmon ahumado  ;; Alcachofa fondo ; Miguel Farias ; 2,100 ; kg ; 6.090 ; 12.789 ; 128 ;Abarrotes;APERITIVO FRIO
; AF-Brocheta de Fondo de alcachofa con queso crema, salmon ahumado  ;; Limón ; Fruton ; 0,250 ; kg ; 1.590 ; 398 ; 4 ;Frutas/Verduras;APERITIVO FRIO
; AF-Brocheta de Fondo de alcachofa con queso crema, salmon ahumado  ;; Aceite de oliva ; Arasil ; 0,050 ; lt ; 5.782 ; 289 ; 3 ;Abarrotes;APERITIVO FRIO
; AF-Brocheta de Fondo de alcachofa con queso crema, salmon ahumado  ;; Queso crema ; Delicias y mas SpA ; 0,500 ; kg ; 6.961 ; 3.481 ; 35 ;Lácteos;APERITIVO FRIO
; AF-Brocheta de Fondo de alcachofa con queso crema, salmon ahumado  ;; Salmón ahumado ; Southwind ; 0,700 ; kg ; 18.500 ; 12.950 ; 130 ;Mariscos/Pescados;APERITIVO FRIO
; AF-Brocheta de Fondo de alcachofa con queso crema, salmon ahumado  ;; caviar ; siruc ; 1,000 ; frasco ; 41.000 ; 41.000 ; 410 ;Abarrotes;APERITIVO FRIO
; AF-Brocheta de Fondo de alcachofa con queso crema, salmon ahumado  ;; Brochetas de 12 cm ; Delicias y mas SpA ; 1,000 ; pqte ; 790 ; 790 ; 8 ;Abarrotes;APERITIVO FRIO
 AF01C ; AF-Brocheta de higo con queso crema y hoja de albahaca envuelto en jamon serrano ;; Higos secos ; MIGUEL FARIAS ; 1,400 ; kg ; 6.945 ; 9.723 ; 98 ;Abarrotes;APERITIVO FRIO
 AF01C ; AF-Brocheta de higo con queso crema y hoja de albahaca envuelto en jamon serrano ;; Azúcar ; Delicias y mas SpA ; 0,500 ; kg ; 1.300 ; 650 ; 7 ;Abarrotes;APERITIVO FRIO
 AF01C ; AF-Brocheta de higo con queso crema y hoja de albahaca envuelto en jamon serrano ;; Canela en rama ; A Y R ; 0,010 ; kg ; 9.000 ; 90 ; 1 ;Abarrotes;APERITIVO FRIO
 AF01C ; AF-Brocheta de higo con queso crema y hoja de albahaca envuelto en jamon serrano ;; Naranjas jugo ; Comercial Valencia ; 0,286 ; kg ; 1.690 ; 483 ; 5 ;Frutas/Verduras;APERITIVO FRIO
 AF01C ; AF-Brocheta de higo con queso crema y hoja de albahaca envuelto en jamon serrano ;; Oporto ; CAMBIAR ; 0,286 ; botella ; 5.512 ; 1.575 ; 16 ;Vinos;APERITIVO FRIO
 AF01C ; AF-Brocheta de higo con queso crema y hoja de albahaca envuelto en jamon serrano ;; queso crema ; Delicias y mas SpA ; 0,300 ; kg ; 6.961 ; 2.088 ; 21 ;Lácteos;APERITIVO FRIO
 AF01C ; AF-Brocheta de higo con queso crema y hoja de albahaca envuelto en jamon serrano ;; Albahaca fresca ; Fruton ; 0,200 ; kg ; 4.980 ; 996 ; 10 ;Frutas/Verduras;APERITIVO FRIO
 AF01C ; AF-Brocheta de higo con queso crema y hoja de albahaca envuelto en jamon serrano ;; Jamón crudo ; Globe Italia ; 0,500 ; kg ; 21.780 ; 10.890 ; 109 ;Carnes;APERITIVO FRIO
 AF01C ; AF-Brocheta de higo con queso crema y hoja de albahaca envuelto en jamon serrano ;; Brochetas de 12 cm ; Delicias y mas SpA ; 1,000 ; pqte ; 790 ; 790 ; 8 ;Abarrotes;APERITIVO FRIO
; AF-Brocheta de mozzarella, albahaca y Tomates cherry  ;; Queso mozarella ; Delicias y mas SpA ; 1,400 ; kg ; 7.955 ; 11.137 ; 112 ;Lácteos;APERITIVO FRIO
; AF-Brocheta de mozzarella, albahaca y Tomates cherry  ;; Albahaca fresca ; Fruton ; 0,150 ; kg ; 4.980 ; 747 ; 8 ;Frutas/Verduras;APERITIVO FRIO
; AF-Brocheta de mozzarella, albahaca y Tomates cherry  ;; Tomate cherry ; Fruton ; 0,600 ; kg ; 1.980 ; 1.188 ; 12 ;Frutas/Verduras;APERITIVO FRIO
; AF-Brocheta de mozzarella, albahaca y Tomates cherry  ;; Brochetas de 12 cm ; Delicias y mas SpA ; 1,000 ; pqte ; 790 ; 790 ; 8 ;Abarrotes;APERITIVO FRIO
; AF-Brocheta de mozzarella, albahaca y Tomates cherry  ;; Rucula ; Comercial Johnson ; 0,200 ; kg ; 11.765 ; 2.353 ; 24 ;Frutas/Verduras;APERITIVO FRIO
 ES07C ; AF-Brocheta de pera acaramel. con roquefort y jamon serrano ;; Manzana verde ; Fruton ; 4,000 ; kg ; 890 ; 3.560 ; 36 ;Frutas/Verduras;APERITIVO FRIO
 ES07C ; AF-Brocheta de pera acaramel. con roquefort y jamon serrano ;; Mantequilla ; Cabezas y cia ; 0,250 ; kg ; 8.391 ; 2.098 ; 21 ;Lácteos;APERITIVO FRIO
 ES07C ; AF-Brocheta de pera acaramel. con roquefort y jamon serrano ;; Azúcar ; Delicias y mas SpA ; 0,500 ; kg ; 1.300 ; 650 ; 7 ;Abarrotes;APERITIVO FRIO
 ES07C ; AF-Brocheta de pera acaramel. con roquefort y jamon serrano ;; Queso roquefort ; Fruton ; 0,800 ; kg ; 29.800 ; 23.840 ; 239 ;Lácteos;APERITIVO FRIO
 ES07C ; AF-Brocheta de pera acaramel. con roquefort y jamon serrano ;; Jamón crudo ; Globe Italia ; 0,500 ; kg ; 21.780 ; 10.890 ; 109 ;Carnes;APERITIVO FRIO
 ES07C ; AF-Brocheta de pera acaramel. con roquefort y jamon serrano ;; Brochetas de 12 cm ; Delicias y mas SpA ; 1,000 ; pqte ; 790 ; 790 ; 8 ;Abarrotes;APERITIVO FRIO
 ES07C ; AF-Brocheta de pera acaramel. con roquefort y jamon serrano ;; Rucula ; Comercial Johnson ; 0,200 ; kg ; 11.765 ; 2.353 ; 24 ;Frutas/Verduras;APERITIVO FRIO
 AF01C ; AF-Brocheta de pera acaramel. con roquefort y jamon serrano ;; Jamón crudo ; Globe Italia ; 0,500 ; kg ; 21.780 ; 10.890 ; 109 ;Carnes;APERITIVO FRIO
 AF01C ; AF-Brocheta de pera acaramel. con roquefort y jamon serrano ;; Rucula ; Comercial Johnson ; 0,200 ; kg ; 11.765 ; 2.353 ; 24 ;Frutas/Verduras;APERITIVO FRIO
 AF01C ; AF-Brocheta de pera acaramel. con roquefort y jamon serrano ;; Mantequilla ; Cabezas y cia ; 0,250 ; kg ; 8.391 ; 2.098 ; 21 ;Lácteos;APERITIVO FRIO
 AF01C ; AF-Brocheta de pera acaramel. con roquefort y jamon serrano ;; Manzana verde ; Fruton ; 2,000 ; kg ; 890 ; 1.780 ; 18 ;Frutas/Verduras;APERITIVO FRIO
 AF01C ; AF-Brocheta de pera acaramel. con roquefort y jamon serrano ;; Brochetas de 12 cm ; Delicias y mas SpA ; 1,000 ; pqte ; 790 ; 790 ; 8 ;Abarrotes;APERITIVO FRIO
 AF01C ; AF-Brocheta de pera acaramel. con roquefort y jamon serrano ;; Azúcar Iansa ; Fruton ; 0,500 ; kg ; 1.300 ; 650 ; 7 ;Abarrotes;APERITIVO FRIO
 AF01C ;AF-Brocheta de pera acaramel. con roquefort y jamon serrano ;; Queso roquefort ; Fruton ; 0,800 ; kg ; 29.800 ; 23.840 ; 239 ;Lácteos;APERITIVO FRIO
 AF01F ; AF-Brocheta de queso de cabra en polvo de pistacho, uva y jamon crudo ;; Queso de cabra ; artisan ; 1,000 ; kg ; 17.444 ; 17.444 ; 175 ;Lácteos;APERITIVO FRIO
 AF01F ; AF-Brocheta de queso de cabra en polvo de pistacho, uva y jamon crudo ;; Aceite de oliva ; Arasil ; 0,100 ; lt ; 5.782 ; 578 ; 6 ;Abarrotes;APERITIVO FRIO
 AF01F ; AF-Brocheta de queso de cabra en polvo de pistacho, uva y jamon crudo ;; Pistacho ; MIGUEL FARIAS ; 0,300 ; kg ; 28.815 ; 8.645 ; 87 ;Abarrotes;APERITIVO FRIO
 AF01F ; AF-Brocheta de queso de cabra en polvo de pistacho, uva y jamon crudo ;; Jamón crudo ; Globe Italia ; 0,500 ; kg ; 21.780 ; 10.890 ; 109 ;Carnes;APERITIVO FRIO
 AF01F ; AF-Brocheta de queso de cabra en polvo de pistacho, uva y jamon crudo ;; uva rosada ; Fruton ; 0,700 ; kg ; 3.500 ; 2.450 ; 25 ;Frutas/Verduras;APERITIVO FRIO
 AF01F ; AF-Brocheta de queso de cabra en polvo de pistacho, uva y jamon crudo ;; Brochetas de 12 cm ; Delicias y mas SpA ; 1,000 ; pqte ; 790 ; 790 ; 8 ;Abarrotes;APERITIVO FRIO
 ES04B ; AF-Brocheta melón y jamon serrano ;; Melón calameño ; Fruton ; 2,000 ; c/u ; 1.790 ; 3.580 ; 36 ;Frutas/Verduras;APERITIVO FRIO
 ES04B ; AF-Brocheta melón y jamon serrano ;; Jamón crudo ; Globe Italia ; 0,350 ; kg ; 21.780 ; 7.623 ; 77 ;Carnes;APERITIVO FRIO
 ES04B ; AF-Brocheta melón y jamon serrano ;; Brochetas de 12 cm ; Delicias y mas SpA ; 1,000 ; pqte ; 790 ; 790 ; 8 ;Abarrotes;APERITIVO FRIO
 ES04B ; AF-Brocheta melón y jamon serrano ;; Rucula ; Comercial Johnson ; 0,200 ; kg ; 11.765 ; 2.353 ; 24 ;Frutas/Verduras;APERITIVO FRIO
; AF-Brochetas de entrañas de cerdo con chancho en piedra. ;; Entraña ; Pallet Steak ; 3,000 ; kg ; 11.998 ; 35.994 ; 360 ;Carnes;APERITIVO FRIO
; AF-Brochetas de entrañas de cerdo con chancho en piedra. ;; tomate ; Fruton ; 0,200 ; kg ; 1.490 ; 298 ; 3 ;Frutas/Verduras;APERITIVO FRIO
; AF-Brochetas de entrañas de cerdo con chancho en piedra. ;; cebolla ; Fruton ; 0,300 ; kg ; 690 ; 207 ; 3 ;Frutas/Verduras;APERITIVO FRIO
; AF-Brochetas de entrañas de cerdo con chancho en piedra. ;; cilantro ; Fruton ; 0,010 ; kg ; 1.980 ; 20 ; 1 ;Frutas/Verduras;APERITIVO FRIO
; AF-Brochetas de entrañas de cerdo con chancho en piedra. ;; comino entero ; Fruton ; 0,010 ; kg ; 3.800 ; 38 ; 1 ;Abarrotes;APERITIVO FRIO
; AF-Brochetas de entrañas de cerdo con chancho en piedra. ;; ajo ; Comercial Valencia ; 1,000 ; c/u ; 450 ; 450 ; 5 ;Frutas/Verduras;APERITIVO FRIO
; AF-Brochetas de entrañas de cerdo con chancho en piedra. ;; Vino blanco en caja 2 lt ; CCU ; 0,225 ; caja ; 1.303 ; 293 ; 3 ;Vinos;APERITIVO FRIO
; AF-Brochetas de entrañas de cerdo con chancho en piedra. ;; Aceite de oliva ; Arasil ; 0,200 ; lt ; 5.782 ; 1.156 ; 12 ;Abarrotes;APERITIVO FRIO
; AF-Brochetas de queso de cabra, albahaca y tomate cherry  ;; Queso de cabra ; artisan ; 1,200 ; kg ; 17.444 ; 20.933 ; 210 ;Lácteos;APERITIVO FRIO
; AF-Brochetas de queso de cabra, albahaca y tomate cherry  ;; Albahaca fresca ; Fruton ; 0,100 ; kg ; 4.980 ; 498 ; 5 ;Frutas/Verduras;APERITIVO FRIO
; AF-Brochetas de queso de cabra, albahaca y tomate cherry  ;; tomate cherry ; Fruton ; 0,600 ; kg ; 1.980 ; 1.188 ; 12 ;Frutas/Verduras;APERITIVO FRIO
; AF-Brochetas de queso de cabra, albahaca y tomate cherry  ;; Aceite de oliva ; Arasil ; 0,200 ; lt ; 5.782 ; 1.156 ; 12 ;Abarrotes;APERITIVO FRIO
; AF-Brochetas de queso de cabra, albahaca y tomate cherry  ;; Brochetas de 12 cm ; Delicias y mas SpA ; 1,000 ; pqte ; 790 ; 790 ; 8 ;Abarrotes;APERITIVO FRIO
 AF01E ; AF-Brochetas de queso mozzarella y prosciutto ;; Queso mozarella ; Delicias y mas SpA ; 1,200 ; kg ; 7.955 ; 9.546 ; 96 ;Lácteos;APERITIVO FRIO
 AF01E ; AF-Brochetas de queso mozzarella y prosciutto ;; Jamón crudo ; Globe Italia ; 0,350 ; kg ; 21.780 ; 7.623 ; 77 ;Carnes;APERITIVO FRIO
 AF01E ; AF-Brochetas de queso mozzarella y prosciutto ;; Aceite de oliva ; Arasil ; 0,200 ; lt ; 5.782 ; 1.156 ; 12 ;Abarrotes;APERITIVO FRIO
 AF01E ; AF-Brochetas de queso mozzarella y prosciutto ;; Brochetas de 12 cm ; Delicias y mas SpA ; 1,000 ; pqte ; 790 ; 790 ; 8 ;Abarrotes;APERITIVO FRIO
 AF01E ; AF-Brochetas de queso mozzarella y prosciutto ;; Rucula ; Comercial Johnson ; 0,200 ; kg ; 11.765 ; 2.353 ; 24 ;Frutas/Verduras;APERITIVO FRIO
; AF-Brochetas de uvas marinadas al estragón sobre camembert maduro ;; Uva rosada ; Fruton ; 1,500 ; kg ; 3.500 ; 5.250 ; 53 ;Frutas/Verduras;APERITIVO FRIO
; AF-Brochetas de uvas marinadas al estragón sobre camembert maduro ;; Aceite de oliva ; Arasil ; 0,100 ; lt ; 5.782 ; 578 ; 6 ;Abarrotes;APERITIVO FRIO
; AF-Brochetas de uvas marinadas al estragón sobre camembert maduro ;; estragón ; Fruton ; 0,015 ; kg ; 35.666 ; 535 ; 6 ;Frutas/Verduras;APERITIVO FRIO
; AF-Brochetas de uvas marinadas al estragón sobre camembert maduro ;; Queso camembert ; Quillayes ; 1,300 ; kg ; 9.902 ; 12.873 ; 129 ;Lácteos;APERITIVO FRIO
; AF-Brochetas de uvas marinadas al estragón sobre camembert maduro ;; Brochetas de 12 cm ; Delicias y mas SpA ; 1,000 ; pqte ; 790 ; 790 ; 8 ;Abarrotes;APERITIVO FRIO
 AF03C ; AF-camaron al earl grey sobre mangos caramelizados ;; Camarón 26/30 ; Cero Pacifico ; 2,500 ; kg ; 7.400 ; 18.500 ; 185 ;Mariscos/Pescados;APERITIVO CALIENTE
 AF03C ; AF-camaron al earl grey sobre mangos caramelizados ;; Tè earl grey ; cambiar ; 0,600 ; caja ; 1.429 ; 857 ; 9 ;Abarrotes;APERITIVO CALIENTE
 AF03C ; AF-camaron al earl grey sobre mangos caramelizados ;; Rucula ; Comercial Johnson ; 0,100 ; kg ; 11.765 ; 1.177 ; 12 ;Frutas/Verduras;APERITIVO CALIENTE
 AF03C ; AF-camaron al earl grey sobre mangos caramelizados ;; Mango fresco ; Fruton ; 2,200 ; kg ; 1.980 ; 4.356 ; 44 ;Frutas/Verduras;APERITIVO CALIENTE
 AF03C ; AF-camaron al earl grey sobre mangos caramelizados ;; Azúcar ; Delicias y mas SpA ; 1,000 ; kg ; 1.300 ; 1.300 ; 13 ;Abarrotes;APERITIVO CALIENTE
 AF03C ; AF-camaron al earl grey sobre mangos caramelizados ;; Brochetas de 12 cm ; Delicias y mas SpA ; 1,000 ; pqte ; 790 ; 790 ; 8 ;Abarrotes;APERITIVO CALIENTE
 AF03C ; AF-camaron al earl grey sobre mangos caramelizados-Salsa de mango ;; pulpa de mango ; Congefruits ; 0,500 ; kg ; 3.900 ; 1.950 ; 20 ;Jugos;APERITIVO CALIENTE
 AF03C ; AF-camaron al earl grey sobre mangos caramelizados-Salsa de mango ;; Pimienta negra en grano ; A Y R ; 0,010 ; kg ; 6.500 ; 65 ; 1 ;Abarrotes;APERITIVO CALIENTE
 AF03C ; AF-camaron al earl grey sobre mangos caramelizados-Salsa de mango ;; cilantro ; Fruton ; 0,100 ; kg ; 1.980 ; 198 ; 2 ;Frutas/Verduras;APERITIVO CALIENTE
 AF03C ; AF-camaron al earl grey sobre mangos caramelizados-Salsa de mango ;; Jengibre fresco ; Fruton ; 0,005 ; kg ; 2.980 ; 15 ; 1 ;Frutas/Verduras;APERITIVO CALIENTE
 AF03B ; AF-camaron sobre guacamole en cuchara china ;; Camarón 26/30 ; Cero Pacifico ; 2,500 ; kg ; 7.400 ; 18.500 ; 185 ;Mariscos/Pescados;APERITIVO FRIO
 AF03B ; AF-camaron sobre guacamole en cuchara china ;; Palta hass ; Palta royal ; 2,000 ; kg ; 4.000 ; 8.000 ; 80 ;Frutas/Verduras;APERITIVO FRIO
 AF03B ; AF-camaron sobre guacamole en cuchara china ;; Tomate ; Fruton ; 1,500 ; kg ; 1.490 ; 2.235 ; 23 ;Frutas/Verduras;APERITIVO FRIO
 AF03B ; AF-camaron sobre guacamole en cuchara china ;; Ciboulette ; Fruton ; 9,000 ; c/u ; 165 ; 1.485 ; 15 ;Frutas/Verduras;APERITIVO FRIO
 AF03B ; AF-camaron sobre guacamole en cuchara china ;; Limón ; Fruton ; 0,150 ; kg ; 1.590 ; 239 ; 3 ;Frutas/Verduras;APERITIVO FRIO
 AF03B ; AF-camaron sobre guacamole en cuchara china ;; Perejil ; Comercial Valencia ; 0,050 ; kg ; 1.980 ; 99 ; 1 ;Frutas/Verduras;APERITIVO FRIO
; AF-Camarones grillados sobre fetuchini de atun ;; Atún congelado en loins ; Cerro Pacifico ; 4,500 ; kg ; 7.900 ; 35.550 ; 356 ;Mariscos/Pescados;ENTRADA
; AF-Camarones grillados sobre fetuchini de atun ;; Ají srirachia ; Delicias y mas SpA ; 0,010 ; frasco ; 6.890 ; 69 ; 1 ;Abarrotes;ENTRADA
; AF-Camarones grillados sobre fetuchini de atun ;; Chalota ; Fruton ; 0,300 ; kg ; 14.900 ; 4.470 ; 45 ;Frutas/Verduras;ENTRADA
