 LISTA_DE_INGREDIENTES ; TIPO DE INGREDIENTE ; UNID ;P.U.; OBSERVACIONES ; PROVEEDOR 
 Pepsi light ; Bebidas ;botella; 639 ; botella de 1,5 lt ; CCU 
 Peras ; Frutas/Verduras ;kg; 1.390 ;; Comercial Valencia 
 Perejil ; Frutas/Verduras ;kg; 1.980 ;; Comercial Valencia 
 Perejil Crespo ; Frutas/Verduras ;kg; 19.800 ;; Fruton 
 Perejil limpio ; Frutas/Verduras ;kg; 2.990 ;; Comercial Valencia 
 Pernil de cerdo ; Carnes ; kg ; 2.598 ;; Comercial Chau 
 Pesto ; Abarrotes ; kg ; 20.468 ;; Delicias y mas SpA 
 Petit Bouché (planchaditos de jamón piña) ; Otras Comidas ;c/u; 253 ;; Avenue du bois 
 Petit four ; Dulces/Tortas ;c/u; 130 ;; Adriana Moreno 
 Picorocos frescos ; Mariscos/Pescados ;kg; 841 ;; Walter Godoy Asalagado 
 Picrato de Butesin ; Abarrotes ;c/u; 6.020 ;; Salcobrand 
 Pierna de cabrito deshuesada ; Carnes ;kg; 4.298 ;; Comercial Chau 
 Pierna de cabrito entera ; Carnes ;kg; 2.498 ;; Comercial Chau 
 Pierna de cerdo ahumada ; Carnes ;kg; 63.700 ;; Aybar 
 Pierna de cordero con hueso ; Carnes ;kg; 4.980 ;; Comercial Chau 
 Pierna de cordero deshuesada ; Carnes ;kg; 18.500 ;; Granja Marina 
 Pierna de jamón ahumada ; Carnes ;kg; 7.390 ;; Comercial Chau 
 Pierna de jamón serrano ; Carnes ;c/u; 56.250 ;; Salamanca Food 
 Pierna entera de jamón acaramelado ; Carnes ;c/u; 29.100 ;; Comercial Chau 
 Pimentón amarillo ; Frutas/Verduras ;c/u; 1.190 ;; Comercial Valencia 
 Pimentón Rojo ; Frutas/Verduras ;c/u; 890 ;; Comercial Valencia 
 Pimentón Verde ; Frutas/Verduras ;c/u; 1.290 ;; Fruton 
 Pimienta blanca en grano ; Abarrotes ;kg; 6.739 ;; cambiar 
 Pimienta blanca molida ; Abarrotes ;kg; 13.032 ;; cambiar 
 Pimienta cayena ; Abarrotes ;kg; 3.860 ;; Goutland 
 Pimienta negra en grano ; Abarrotes ;kg; 6.500 ;; A Y R 
 Pimienta negra molida ; Abarrotes ; kg ; 15.089 ;; cambiar 
 Pimienta roja ; Abarrotes ; frasco ; 1.190 ; frasco 35 gr ; cambiar 
 Pimienta verde ; Abarrotes ;frasco; 1.173 ; frasco 35 gr ; cambiar 
 Pimiento morrón en corserva ; Abarrotes ;lata; 1.395 ; tarro 500grs ; cambiar 
 Pinches negros ; Abarrotes ;pqte; 521 ; 20 unidades ; Salcobrand 
 Pinza de jaiva cocktail ; Mariscos/Pescados ;kg; 6.500 ;; Comercial Océano 
 Piña caramelo ; Frutas/Verduras ;c/u; 2.980 ;; Fruton 
 Piña confitada ; Abarrotes ;kg; 4.429 ;;
 Piña Lata kg ; Abarrotes ;lata; 1.486 ; lata de 500grs ; cambiar 
 Piña rodaja ; Abarrotes ;lata; 1.135 ; 567gr ; cambiar 
 Pisco alto del carmen 35º ; Tragos ; botella ; 5.280,00 ; Botella 1Lt. ; VYL 
 Pisco alto del carmen 40° doble destilado ; Tragos ; botella ; 6.872,00 ; BOTELLA 750 CC ; VYL 
 Pisco Bauza 1 lt ; Tragos ;botella; 6.000 ;; Distribuidora La Martina 
 Pisco Bauzá 35º ; Tragos ;botella; 4.058 ; BOTELLA 1 LT ; Distribuidora La Martina 
 Pisco Bauzá 45º ; Tragos ;botella; 2.260 ;; Agro productos bauzá 
 Pisco campanario 35° 1 litro ; Tragos ;botella; 980 ; Display 6 unid. ; CCU 
 Pisco capel 35º 1 lt ; Tragos ;botella; 3.197 ;; German García 
 Pisco capel 35º 700 cc ; Tragos ;botella; 1.912 ;; German García 
 Pisco mistral 35° ; Tragos ;botella; 3.053 ; BOTELLA 1 LT ; CCU 
 Pisco ruta norte ; Tragos ;botella; 1.564 ;; German García 
 Pisco Tabernero ; Tragos ;botella; 20.961 ; botella de 2 lt ; VYL 
 Pisco tres erres ; Tragos ;botella; 3.152 ;; ccu 
 Pistacho ; Abarrotes ; kg ; 28.815 ;; MIGUEL FARIAS 
 Pita ; Abarrotes ; ovillo ; 3.126 ; ovillo de………. ; cambiar 
 Pizza de champiñon ; Otras Comidas ; c/u ; 350 ; individual ; cambiar 
 Pizza personal trasnoche (2 und.) ; Otras Comidas ; planchas ; 14.000 ;; El Esfuerzo 
 Pizza napolitana ; Otras Comidas ;c/u; 256 ; individual ; cambiar 
 Plátano ; Frutas/Verduras ;kg; 1.290 ;; Comercial Valencia 
 Plátano Verde ; Frutas/Verduras ;kg; 1.980 ;; Fruton 
 Plateada de cerdo ; Carnes ;kg; 8.290 ;; Pallet Steak 
 Plateada de vacuno  ; Carnes ;kg; 5.098 ;; Comercial Chau 
 poc choy ; Frutas/Verduras ;kg; 9.680 ;; BioInvest 
 Polenta ; Abarrotes ;kg; 1.038 ;; cambiar 
 Pollio de grano relleno ; Carnes ;unid; 3.193 ;; Nezar Lama 
 Pollito de grano ; Carnes ;kg; 1.998 ;; Comercial Chau 
 Pollo entero ; Carnes ;kg; 998 ;; Pallet Steak 
 Pollo ganso ; Carnes ;kg; 7.990 ;; Pallet Steak 
 Polvo de ají ; Abarrotes ;; 3.850 ;;
 Polvo de ají amarillo ; Abarrotes ;kg;;; Gudland 
 Polvo de hornear ; Abarrotes ;kg; 4.529 ;; cambiar 
 Pomelo ; Frutas/Verduras ;kg; 2.490 ;; Comercial Valencia 
 Pomelos rosados ; Frutas/Verduras ;kg; 590 ;; Agromarket 
 Pop cakes ; Dulces/Tortas ;c/u; 850 ;; El Esfuerzo 
 Pork bely ; carnes ;kg; 5.880 ;; Agrosuper 
 Porotos   ; Abarrotes ;kg; 2.580 ;; cambiar 
 Porotos negros ; Abarrotes ;kg; 1.500 ;; A Y R 
 porotos pallares ; Abarrotes ;kg; 2.900 ;; Fruton 
 Porotos verdes congelados ; Abarrotes ;kg; 1.398 ;; Abasto 
 Posta de ciervo ; Carnes ;kg; 7.800 ;; Comercial Chau 
 Posta negra ; Carnes ;kg; 6.553 ;; Pallet Steak 
 Posta rosada ; Carnes ;kg; 6.553 ;; Pallet Steak 
 Posta rosada de wagyu ; Carnes ;kg; 7.998 ; Posta rosada ANGUS ; Pallet Steak 
 Postre de diabéticos ; Dulces/Tortas ;c/u; 14.900 ;; Carmelita Ossa 
 Povidona Yodada ; Abarrotes ;c/u; 474 ;; Salcobrand 
 Prietas ; Carnes ;kg; 4.358 ;; Delicias y mas SpA 
 Profiteroles ; Dulces/Tortas ;c/u; 50 ;; Carmelita Ossa 
 Profiteroles chicos ; Dulces/Tortas ;c/u; 59 ;; cambiar 
 Profiteroles de aceitunas negras ; Otras Comidas ;c/u; 65 ;; cambiar 
 Profiteroles de albahaca ; Otras Comidas ;c/u; 65 ;; cambiar 
 Profiteroles de azafran ; Otras Comidas ; c/u ; 65 ;; cambiar 
 Puerros ; Frutas/Verduras ;c/u; 790 ;; Comercial Valencia 
 Pulpa de arándanos ; Jugos ;kg; 3.500 ;; Congefruits 
 Pulpa de cerdo con hueso ; Carnes ;kg; 1.598 ;; Pallet Steak 
 Pulpa de cerdo deshuesada ; Carnes ;kg; 4.992 ;; Pallet Steak 
 Pulpa de chirimoya ; Jugos ;kg; 4.800 ;; Congefruits 
 Pulpa de cordero ; Carnes ;kg; 6.980 ;; Comercial Chau 
 Pulpa de durazno ; Jugos ;kg; 1.998 ;; Piedra y Piedra 
 Pulpa de frambuesas ; Jugos ;kg; 4.600 ;; Congefruits 
 Pulpa de frutillas ; Jugos ;kg; 2.900 ;; Congefruits 
 Pulpa de guayaba ; Jugos ;kg; 1.800 ;; Piedra y Piedra 
 Pulpa de javalí ; Carnes ;kg; 5.998 ;; Comercial Chau 
 Pulpa de limón ; Jugos ;kg; 3.900 ;;
 Pulpa de limon sutil ; Jugos ;unid; 5.500 ;; Congefruits 
 Pulpa de lúcuma ; Jugos ;kg; 6.000 ;; Congefruits 
 Pulpa de mango ; Jugos ;kg; 3.900 ;; Congefruits 
 Pulpa de maracuyá con pepas ; Jugos ;kg; 4.990 ;; Congefruits 
 Pulpa de maracuyá sin pepas ; Jugos ;kg; 4.990 ;; Congefruits 
 Pulpa de melón tuna ; Jugos ;kg; 1.998 ;; Piedra y Piedra 
 Pulpa de naranja ; Jugos ;kg; 1.700 ;; Piedra y Piedra 
 Pulpa de papaya ; Jugos ;kg; 1.600 ;; cambiar 
 Pulpa de piña ; Jugos ;kg; 3.400 ;; Congefruits 
 Pulpa jugo de chirimoya  ; Jugos ;kg; 4.300 ;; Congefruits 
 Pulpa jugo de frambuesas ; Jugos ;kg; 3.950 ;; Congefruits 
 Pulpo ; Mariscos/Pescados ;kg; 16.100 ;; Granja Marina 
 Punta Paleta de wagyu ; carnes ;kg; 9.998 ;; Pallet Steak 
 Puntas de espárragos ; Frutas/Verduras ;kg; 1.740 ;; Piedra y Piedra 
 Puré de castaña ; Abarrotes ;frasco; 4.900 ; 1,2 kg ; A Y R 
 Puré de Lúcuma ; Abarrotes ;lata; 4.725 ; 3,6 Kgrs. ; Piedra y Piedra 
 Puré de papas ; Abarrotes ;bolsa; 5.190 ; bolsa de 1 kilo ; Delicias y mas SpA 
 Puritos ; Otras Comidas ;cajita; 4.000 ; 10 unidades por caja ; Cencosud Retail 
 queso ahumado ; Lácteos ;kg; 6.344 ;; Quillayes 
 Queso brie ; Lácteos ;kg; 8.505 ; 7 unid x kg ; Quillayes 
 Queso camembert ; Lácteos ;kg; 9.902 ; 10 uni x kg ; Quillayes 
 Queso Chacra ; Lácteos ; pieza ;2350; 500 grs. ; Quillayes 
 Queso Cheddar ; Lácteos ; kg ;14990;; santa rosa 
 queso cottage ; Lácteos ; kg ; 5.490 ;; quesos artizan 
 Queso crema ; Lácteos ; kg ; 6.961 ;; Delicias y mas SpA 
 Queso de cabra ; Lácteos ; kg ; 17.444 ;; artisan 
 Queso edam ; Lácteos ; kg ; 9.158 ;; Quillayes 
 Queso ementhal ; Lácteos ; kg ; 8.490 ;; Quillayes 
 Queso fresco ; Lácteos ; kg ; 3.333 ;; Quillayes 
 Queso gauda laminado ; Lácteos ; kg ; 3.800 ;; Quillayes 
 Queso gruyere ; Lácteos ; kg ; 8.400 ;; artisan 
 Queso mantecoso ; Lácteos ; kg ;9160;; artisan 
 queso mascarpone ; Lácteos ; kg ; 6.490 ;; quesos artizan 
 Queso mozarella ; Lácteos ; kg ; 7.955 ;; Delicias y mas SpA 
 Queso mozarella boconccini ; Lácteos ;kg; 8.500 ; Bolsas de 250 gr x 4250 ; Granarolo 
 Queso parmesano en trozo ; Lácteos ;kg; 12.524 ;; Don Jaime 
 Queso parmesano rallado ; Abarrotes ;kg; 16.980 ;; Delicias y mas SpA 
 Queso provolone ; Lácteos ;kg; 8.625 ;; Quillayes 
 Queso roquefort ; Lácteos ;kg; 29.800 ;; Fruton 
 Quinoa blanca ; Abarrotes ;kg; 4.400 ;; Fruton 
 Quinoa negra ; Abarrotes ;kg; 4.200 ;; Fruton 
 Quinoa roja ; Abarrotes ;kg; 4.200 ;; Fruton 
 Quita esmalte ; Abarrotes ;c/u; 496 ; 100 cc ; Salcobrand 
 Rabanito ; Frutas/Verduras ;kg; 1.390 ;; Comercial Valencia 
 Rabano blanco ; Frutas/Verduras ;kg; 2.370 ;; Agromarket 
 Radiccio ; Frutas/Verduras ;c/u; 375 ;; Agromarket 
 Ramazzotti ; LICORES ; C/U ; 6.657,00 ; BOTELLA 750 CC ; CCU 
 Ramazzotti violetto ; Tragos ;botella; 7.458,00 ;; CCU 
 Ramitas ; Abarrotes ;bolsa; 1.190 ;; Delicias y mas SpA 
 Ravioles ; Otras Comidas ;kg; 5.475 ;; Tutta Pasta 
 Rectangulo de callampas ; Frutas/Verduras ;kg; 2.900 ;; New york bakery 
 Red mustard ; Frutas/Verduras ;kg; 9.800 ;; BioInvest 
 Redbull ; Tragos ;lata; 1.000 ;; CCU 
 Redbull Sugar Free ; Tragos ;lata; 1.000 ;; CCU 
 Reineta fresca fileteada ; Mariscos/Pescados ;kg; 6.000 ;; Southwind 
 Repollo ; Frutas/Verduras ;unid; 1.590 ;; Comercial Valencia 
 Repollo Morado ; Frutas/Verduras ;unid; 1.690 ;; Comercial Valencia 
 Ricotta ; Lácteos ; kg ; 6.890 ;; Fruton 
 Riñones de vacuno  ; Carnes ;kg; 998 ;; Comercial Chau 
 Robalo ; Mariscos/Pescados ;kg; 8.200 ;; Mar express 
 Rocotto ; Frutas/Verduras ;kg; 7.992 ;; Fruton 
 Reineta fresca fileteada ; Mariscos/Pescados ;kg; 7.100 ;; Alimex 
 Rocotto ; Frutas/Verduras ;c/u; 2.980 ;; Fruton 
 Roll camarón envuelto en palta ; Otras Comidas ;c/u; 300 ;; Camila Vivanco 
 Roll camarón envuelto en salmón ; Otras Comidas ;c/u; 280 ;; Camila Vivanco 
 Roll camarón envuelto en sésamo ; Otras Comidas ;c/u; 280 ;; Camila Vivanco 
 Roll camarón palta envuelto en sésamo ; Otras Comidas ;c/u; 280 ;; Camila Vivanco 
 roll de salmón envuelto en palta ; Otras Comidas ;c/u; 300 ;; Camila Vivanco 
 Roll salmón envuelto en salmón ; Otras Comidas ;c/u; 250 ;; Camila Vivanco 
 Roll salmón envuelto en sésamo ; Otras Comidas ; c/u ;280;; Camila Vivanco 
 rollos papel  ; Abarrotes ; pqte ; 12.470 ; 2 rollos de 300 mt de  ; cambiar 
 Romero ; Abarrotes ;atado; 495 ; 55 gr x bandeja ; Agromarket 
 Ron Baccardi Apple ; Tragos ;botella; 5.202 ;; Germán García 
 Ron Baccardi dorado ; Tragos ;botella; 4.525 ;; German García 
 Ron Baccardi limón ; Tragos ;botella; 8.951 ;; German García 
 Ron Baccardi manzana ; Tragos ;botella; 7.042 ;; German García 
 Ron Baccardi razz ; Tragos ;botella; 8.697 ; BOTELLA 750 CC ; VYL 
 Ron Barbacourt ; Tragos ;botella; 4.622 ;; German García 
 Ron Barceló blanco ; Tragos ;botella; 5.755 ;; German García 
 Ron Barceló dorado ; Tragos ;botella; 4.446 ;; German García 
 Ron Cabo Viejo ; Tragos ;botella; 1.709 ; 750cc  (caja  12 unid.) ; CCU 
 Ron Flor de Caña 5 años ; Tragos ;botella; 1.169 ; 1,750 ltrs ; German García 
 Ron Flor de Caña Dorado ; Tragos ;botella; 5.402 ; BOTELLA 1 LT ; VYL 
 Ron habana Club ; Tragos ;botella; 5.201 ; añejo reserva ; German García 
 Ron habana club añejo especial ; Tragos ;botella; 4.750 ;; CCU 
 Ron habana Club blanco ; Tragos ;botella; 6.468 ;; German García 
 Ron pampero ; Tragos ;botella; 10.300 ; BOTELLA 750 CC ; CAMBIAR 
 Ron Sierra Morena Blanco ; Tragos ;botella; 2.851 ;; CCU 
 Ron Sta. Teresa ; Tragos ;botella; 3.914 ;; German García 
 Ron Varadero blanco ; Tragos ;botella; 3.878 ;; German García 
 Rucula ; Frutas/Verduras ;kg; 11.765 ;; Comercial Johnson 
 Rucula Europea ; Frutas/Verduras ;kg; 6.300 ;; Jardin del Chef 
 Rúcula Italiana ; Frutas/Verduras ;kg; 3.900 ;; Comercial Valencia 
 Rúcula Selvática ; Frutas/Verduras ;kg; 6.300 ;; Agromarket 
 Ruibarbo ; Frutas/Verduras ;kg; 3.500 ;; Patagonia austral 
 Saborizantes de café ; Abarrotes ;botella; -   ;; Café dároma 
 Sake ; Tragos ;c/u; 2.628 ;; German García 
 Sal ; Abarrotes ;kg; 550 ;; Fruton 
 Sal gruesa ; Abarrotes ;kg; 1.200 ;; MIGUEL FARIAS 
 Sal maldon ; Tragos ;kg; 12.000 ;; com. Ecos sur ltda. 
 Sal semi gruesa ; Abarrotes ;kg; 320 ;; cambiar 
 Salmón fresco ; Mariscos/Pescados ;kg; 11.600 ;; Southwind 
 Salmón ahumado ; Mariscos/Pescados ;kg; 18.500 ;; Southwind 
 Salmón ahumado recorte ; Mariscos/Pescados ;kg; 10.600 ;; Southwind 
 Salmón fresco ; Mariscos/Pescados ;kg; 12.800 ;; Cerro pacifico 
 Salmón fresco plaqueta ; Mariscos/Pescados ;kg; 9.100 ;; Southwine 
 Salsa bourbon style ; Abarrotes ;botella; 1 ; botella de 2 lt ; nestle 
 Salsa de carne ; Abarrotes ;kg; 1.234 ;; cambiar 
 Salsa de chocolate ; Abarrotes ;lt; 1.260 ; 60 ml ; Comercial San Joaquin 
 Salsa de ciruela ; Abarrotes ;kg; ?? ;; cambiar 
 Salsa de ostra  ; Abarrotes ;kg; 2.990 ;; Fruton 
 Salsa de pescado ; Abarrotes ;lt; 4.380 ;; Delicias y mas SpA 
 Salsa de tabasco ; Abarrotes ;lt; 2.990 ; 60 ml ; Fruton 
 Salsa de tomate ; Abarrotes ;kg; 1.900 ; 380 unidad 200 gr ; Fruton 
 Salsa española ; Abarrotes ;kg; 2.900 ;; Gudland 
 Salsa general tso's ; Abarrotes ;botella; 10.900 ; botella de 2 lt ; nestle 
 Salsa hoisin ; Abarrotes ;kg; 3.280 ;; Fruton 
 Salsa inglesa ; Abarrotes ;botella; 4.490 ; 185 ml ; Fruton 
 Salsa swet & sour ; Abarrotes ;botella; 1 ; botella de 2 lt ; nestle 
 Salsa tahine ; Abarrotes ;lt; 3.900 ; salsa preparada ; Nezar Lama 
 Salsa tahine y tomates ; Otras Comidas ;lt; 3.000 ; salsa preparada ; Nezar Lama 
 Salsa Tandoori ; Abarrotes ;kg; 20.000 ;; cambiar 
 Salsa teriyaki sauce ; Abarrotes ;botella; 4.900 ;; Fruton 
 Salvia ; Frutas/Verduras ;atado; 5.990 ;; Agromarket 
 Sandía ; Frutas/Verduras ;c/u; 3.900 ; -   ; Fruton 
 Sandwichs personal(2 unidades) ; Otras Comidas ;c/u; 1.268 ;; Meat and foot 
 Saquitos de alcachofas y queso de cabra ; Otras Comidas ;unid; 300 ;; Gastón Castillo 
 Schichimi togarashi ; Abarrotes ;kg; 1 ;; cambiar 
 Scones de hierbas ; Abarrotes ;unid; 110 ;; Estercina 
 Semilla de Anis ; Abarrotes ;kg; 21.190 ; Anis ; Fruton 
 semillas de cilantro ; Abarrotes ;kg; 7.060 ;; Fruton 
 semillas de comino ; Abarrotes ; kg ; 5.600,00 ;; Gudland 
 Semillas de hinojo ; Frutas/Verduras ;kg; 22.000 ;; Fruton 
 semillas de mostaza  ; Abarrotes ;kg; 11.760 ;; Fruton 
 Semola ; Abarrotes ; kg ; 932 ;; cambiar 
 Semolina ; Abarrotes ;kg; 980 ;; Centro Abasto 
 Servilletas de papel ; Abarrotes ; Caja ; 46.890 ; Caja 24 paq x 120 Unidades ; Coesmo 
 Sésamo blanco ; Abarrotes ;kg; 6.000 ;; MIGUEL FARIAS 
 Sésamo negro ; Abarrotes ;kg; 5.500 ;; Fruton 
 Shawarma pequeño ; Otras Comidas ;c/u; 590 ;; Ximena manzur 
 Solomillo de cerdo ; Carnes ;kg; 3.298 ;; Comercial Chau 
 Sopaipillas ; Abarrotes ;c/u; 56 ;; cambiar 
 Sorbete de durazno ; Helados ;lt; 2.426 ;; Bobbo 
 Sorbete de frambuesa ; Helados ;lt; 2.478 ;; Bobbo 
 Sorbete de limón ; Helados ;lt; 2.426 ;; Bobbo 
 Sorbete de manzana ; Helados ;lt; 2.425 ;; Bobbo 
 Sorbete de naranja ; Helados ;lt; 2.489 ;; Bobbo 
 Soya ; Abarrotes ;lt; 2.645 ; Balde 18,9 litros 53350 ; Delicias y mas SpA 
 Spongi ; Abarrotes ;c/u; 276 ;; Chile Distribución 
 Sprite ; Bebidas ;botella; 772 ; botella 1.5 LT ; Andina 
 Sprite chica 330cc ; Bebidas ;lata; 269 ; botella 330cc ; Andina 
 Sprite zero ; Bebidas ;botella; 790 ; botella 1.5 LT ; Andina 
 Sprite zero 3 LT ; Bebidas ;botella; 1.756 ; botella 3 LT ; Andina 
 Sprite zero chica 330cc ; Bebidas ;botella; 258 ; botella 330cc ; Andina 
 Sucralosa ; Abarrotes ;caja; 14.000 ; sucralosa 1000 unid ; Delicias y mas SpA 
 Super 8 ; Abarrotes ;c/u; 290 ;; A Y R 
 Syroup Amaretto ; Abarrotes ;BOTELLA; 6.000 ;; Comercial dicalla 
 Syroup Avellanas ; Abarrotes ;BOTELLA; 6.000 ;; Comercial dicalla 
 Syroup Chocolate ; Abarrotes ;BOTELLA; 6.000 ;; Comercial dicalla 
 Tabaco arguilas ; Otras Comidas ;c/u; 7.479 ; lata 250 grs ; Comercial damasco limitada 
 Tabletas philiips ; Abarrotes ;caja; 2.269 ; 30 tabletas ; Salcobrand 
 Taboule ; Otras Comidas ;kg; 11.800 ;; Nezar Lama 
 Tahine ; Otras Comidas ;frasco; 6.448 ; 400 grs ; cambiar 
 Tallarines  ; Abarrotes ;kg; 2.072 ;; Cabezas y cia 
 Tandoori masala en polvo ; Abarrotes ;kg; 5.170 ;; Gudland 
 Tapa pecho ; Carnes ;kg; 2.498 ;; Comercial Chau 
 Tapioca ; Abarrotes ;Bolsa; 2.100 ; Bolsa de 400 gr ; china market 
 Tartaleta de durazno ; Dulces/Tortas ;c/u; 6.302 ;; Amarena 
 Tat soi ; Frutas/Verduras ;kg; 9.800 ;; BioInvest 
 Té break fast ; Abarrotes ;caja; 3.740 ; 20 bolsitas ; cambiar 
 Té cedrón ; Abarrotes ;caja; 1.290 ; 20 bolsitas ; cambiar 
 Té darjeeling himalaya ; Abarrotes ;caja; 2.800 ; 20 bolsitas ; cambiar 
 Té de boldo ; Abarrotes ;caja; 540 ; 20 bolsitas ; cambiar 
 Té de hierbas lipton ; Abarrotes ;caja; 1.250 ; 50 bolsitas ; cambiar 
 Té de limón ; Abarrotes ;caja; 1.660 ; 20 bolsitas ; cambiar 
 Té de manzana con canela ; Abarrotes ;caja; 620 ; 20 bolsitas ; cambiar 
 Té de manzanilla ; Abarrotes ;caja; 520 ; 20 bolsitas ; cambiar 
 Té de menta ; Abarrotes ;caja; 520 ; 20 bolsitas ; cambiar 
 Té de naranja ; Abarrotes ;caja; 3.640 ; 20 bolsitas ; cambiar 
 Tè earl grey ; Abarrotes ;caja; 1.429 ; 100,00 ; cambiar 
 Té forest fruits ; Abarrotes ;caja; 1.540 ; 20 bolsitas ; cambiar 
 Té negro ; Abarrotes ;caja; 2.545 ; 100 bolsitas ; cambiar 
 Té rojo ; Abarrotes ;caja; 2.545 ; 20 bolsitas ; cambiar 
 Té surtido twinings ; Abarrotes ;caja; 1.337 ; 10 bolsitas ; cambiar 
 Té verde ; Abarrotes ;caja; 1.296 ; 25 bolsitas ; cambiar 
 Té yellow label ; Abarrotes ;caja; 2.990 ; X 100 unid ; Centro Abasto 
 Tejas Peruanas ; Dulces/Tortas ;c/u; 650 ;; Daniel Gelferstein 
 Temaki (conos) ; Otras Comidas ;c/u; 300,0 ;; Camila Vivanco 
 Tenedores de madera ; Abarrotes ;c/u; 9,0 ; pqte de 25 unid ; cambiar 
 Tequila José cuervo dorado ; Tragos ;botella; 8.390 ;; German García 
 Tequila Olmeca ; Tragos ;botella; 9.680,0 ; 750 ml. ; CCU 
 Tequila Sombrero negro ; Tragos ;botella; 7.107,9 ; 750 ml. ; CCU 
 Tequila senda ; Tragos ;botella; 5.197 ; BOTELLA 700 CC ; VYL 
 Termómetro ; Abarrotes ;c/u; 936 ;; Salcobrand 
 Tilapia ; Mariscos/Pescados ;kg; 3.900 ; fileteada 120 grs ; Deli food 
 Tinta de Calamar ; Abarrotes ;frasco; 5.336 ; frasco de 200 grs ; cambiar 
 toalla de papel rollo ; Abarrotes ;c/u; 6.040 ; 8000 EL PAR ; Coesmo 
 Toallas higienicas donasept suave alas ; Abarrotes ;pqte; 899 ;; SalcoBrand 
 Toblerone nuez, naranja, manjar ; Dulces/Tortas ;c/u; 14.900 ;; Carmelita Ossa 
 Tocino ahumado ; Carnes ;kg; 12.390 ;; Delicias y mas SpA 
 Tofee Lúcuma y Nueces triangular ; Dulces/Tortas ;c/u; 390 ;; Daniel Gelferstein 
 Tofu ; Otras Comidas ;kg; 7.200 ;; Delicias y mas SpA 
 Tomate ; Frutas/Verduras ;kg; 1.490 ; -   ; Fruton 
 Tomate cherry ; Frutas/Verduras ;kg; 1.980 ; 110 unid * kg ; Fruton 
 Tomate Coktail ; Frutas/Verduras ;kg; 1.980 ; 65 unid*kg ; Fruton 
 Tomate deshidratado ; Frutas/Verduras ;kg; 12.900 ;; Fruton 
 Tomate en conserva ; Abarrotes ;lata; 1.328 ; lata de 2,550 kg ; cambiar 
 Tomate pera  ; Frutas/Verduras ;kg; 1.590 ;; Agromarket 
 Tomillo fresco ; Abarrotes ;atado; 1.390 ; mata de 15 grs. ; Fruton 
 Tomillo seco ; Abarrotes ;kg; 8.335 ; bolsa de 1 kg ; cambiar 
 Torta concorde ; Dulces/Tortas ;c/u; 23.100 ;; Karina 
 Torta dámero  ; Dulces/Tortas ;c/u; 24.500 ;; Carmelita Ossa 
 Torta de  manjar nuez ; Dulces/Tortas ;c/u; 17.000 ;; Carmelita Ossa 
 Torta de amapola frambuesa ; Dulces/Tortas ;c/u; 31.092 ;; El Esfuerzo 
 Torta de avellanas y lúcumas ; Dulces/Tortas ;c/u; 17.000 ;; Amarena 
 Torta de castañas ; Dulces/Tortas ;c/u; 17.000 ;; Carmelita Ossa 
 Torta de chocolate ; Dulces/Tortas ;c/u; 29.412 ;; El Esfuerzo 
 Torta de chocolate lúcuma ; Dulces/Tortas ;c/u; 39.000 ;; El Esfuerzo 
 Torta de chocolate mazapán ; Dulces/Tortas ;c/u; 15.966 ;; Amarena 
 Torta de frambuesas ; Dulces/Tortas ;c/u; 16.605 ;; Presidente riesco 
 Torta de mazapán ; Dulces/Tortas ;c/u; 20.500 ;; Varsoviene 
 Torta de merengue ; Dulces/Tortas ;c/u; 23.530 ;; Adriana Moreno 
 Torta de mil hojas con manjar ; Dulces/Tortas ;c/u; 45.000 ;; El Esfuerzo 
 Torta de pan.frambuesas con cubierta de mazapán ; Dulces/Tortas ;c/u; 15.597 ;; Presidente riesco 
 Torta de panqueque choc.-mazapan ; Dulces/Tortas ;c/u; 20.500 ;; Amarena 
 Torta de panqueque choc., manjar, almendra ; Dulces/Tortas ;c/u; 20.336 ;; Amarena 
 Torta de panqueque frambuesas ; Dulces/Tortas ;c/u; 17.000 ;; Presidente riesco 
 Torta de panqueque Manjar, nuez, lúcuma ; Dulces/Tortas ;c/u; 14.706 ; 30 pax ; Carmelita Ossa 
 Torta de panqueque naranja ; Dulces/Tortas ;c/u; 24.500 ;; Carmelita Ossa 
 Torta de panqueque nuez, manjar ; Dulces/Tortas ;c/u; 17.563 ; 30 pax ; Carmelita Ossa 
 Torta de panqueque y almendra ; Dulces/Tortas ;c/u; 17.439 ;; Presidente riesco 
 Torta francisco José ; Dulces/Tortas ;c/u; 38.000 ;; El Esfuerzo 
 Torta Granité ; Dulces/Tortas ;c/u; 24.500 ;; Carmelita Ossa 
 Torta hojarasca ; Dulces/Tortas ;c/u; 14.286 ;; Amarena 
 Torta Josefina ; Dulces/Tortas ;c/u; 10.924 ;; Amarena 
 Torta la serena ; Dulces/Tortas ;c/u; 31.092 ;; El Esfuerzo 
 Torta las rusas ; Dulces/Tortas ;c/u; 31.092 ;; El Esfuerzo 
 Torta le Marginy ; Dulces/Tortas ;c/u; 24.500 ;; Carmelita Ossa 
 Torta mil hojas de damasco y huevo ; Dulces/Tortas ;c/u; 19.328 ;; Las violetas 
 Torta panqueque, frambuesas, manjar, ganache ; Dulces/Tortas ;c/u; 20.800 ;; Carmelita Ossa 
 Torta Paula ; Dulces/Tortas ;c/u; 11.765 ;; Amarena 
